cd_nom;StN_2020;nom_scient_TaxRef_v15
217455;Eristalis picea (Fallen),  1817;Eristalis picea (Fallén, 1817)
217456;Eristalis similis (Fallen),  1817;Eristalis similis (Fallén, 1817)
23915;Eristalis tenax (L.),  1758;Eristalis tenax (Linnaeus, 1758)
217467;Eumerus funeralis Meigen,  1822;Eumerus funeralis Meigen, 1822
192405;;Eumerus sp
24542;Eumerus ornatus Meigen,  1822;Eumerus ornatus Meigen, 1822
24544;Eumerus sogdianus Stackelberg,  1952;Eumerus sogdianus Stackelberg, 1952
24545;Eumerus strigatus (Fallen),  1817;Eumerus strigatus (Fallén, 1817)
24547;Eumerus tricolor (Fabricius),  1798;Eumerus tricolor (Fabricius, 1798)
217482;Eupeodes bucculatus (Rondani),  1857;Eupeodes bucculatus (Rondani, 1857)
217483;Eupeodes corollae (Fabricius),  1794;Eupeodes corollae (Fabricius, 1794)
217485;Eupeodes goeldlini Mazanek,  Laska & Bicik,  1999;Eupeodes goeldlini Mazanek, Láska & Bicik, 1999
18870;Eupeodes latifasciatus (Macquart),  1829;Eupeodes latifasciatus (Macquart, 1829)
217488;Eupeodes luniger (Meigen),  1822;Eupeodes luniger (Meigen, 1822)
217490;Eupeodes nitens (Zetterstedt),  1843;Eupeodes nitens (Zetterstedt, 1843)
24483;Ferdinandea cuprea (Scopoli),  1763;Ferdinandea cuprea (Scopoli, 1763)
24485;Ferdinandea ruficornis (Fabricius),  1775;Ferdinandea ruficornis (Fabricius, 1775)
